expt,site,subject,att,AUCMeasure,AUC
1,1,1,1,1,0.177188880294027
1,1,1,1,2,0.0733513879419051
1,1,1,2,1,0.186384345523442
1,1,1,2,2,0.0661735423593481
1,1,1,3,1,0.146614891676772
1,1,1,3,2,0.0523070995649145
1,2,1,1,1,0.177188880294027
1,2,1,1,2,0.0733513879419051
1,2,1,2,1,0.186384345523442
1,2,1,2,2,0.0661735423593481
1,2,1,3,1,0.146614891676772
1,2,1,3,2,0.0523070995649145
1,1,2,1,1,0.19968749205533
1,1,2,1,2,0.162708336558066
1,1,2,2,1,0.272581039600291
1,1,2,2,2,0.233223797709698
1,1,2,3,1,0.106849665072884
1,1,2,3,2,0.103328303906891
1,2,2,1,1,0.19968749205533
1,2,2,1,2,0.162708336558066
1,2,2,2,1,0.272581039600291
1,2,2,2,2,0.233223797709698
1,2,2,3,1,0.106849665072884
1,2,2,3,2,0.103328303906891
1,1,3,1,1,0.274673266776847
1,1,3,1,2,0.126425701640181
1,1,3,2,1,0.261882240392836
1,1,3,2,2,0.0995932115205406
1,1,3,3,1,0.17838374520426
1,1,3,3,2,0.0844169351452834
1,2,3,1,1,0.274673266776847
1,2,3,1,2,0.126425701640181
1,2,3,2,1,0.261882240392836
1,2,3,2,2,0.0995932115205406
1,2,3,3,1,0.17838374520426
1,2,3,3,2,0.0844169351452834
1,1,4,1,1,0.205418535382938
1,1,4,1,2,0.0568118662571433
1,1,4,2,1,0.181055551801558
1,1,4,2,2,0.0244802607826284
1,1,4,3,1,0.149693243338487
1,1,4,3,2,0.026641027790686
1,2,4,1,1,0.205418535382938
1,2,4,1,2,0.0568118662571433
1,2,4,2,1,0.181055551801558
1,2,4,2,2,0.0244802607826284
1,2,4,3,1,0.149693243338487
1,2,4,3,2,0.026641027790686
1,1,5,1,1,0.197642007997726
1,1,5,1,2,0.0655289094848566
1,1,5,2,1,0.191510510050188
1,1,5,2,2,0.0645547533859589
1,1,5,3,1,0.114350422969266
1,1,5,3,2,0.0478216999738038
1,2,5,1,1,0.197642007997726
1,2,5,1,2,0.0655289094848566
1,2,5,2,1,0.191510510050188
1,2,5,2,2,0.0645547533859589
1,2,5,3,1,0.114350422969266
1,2,5,3,2,0.0478216999738038
1,1,6,1,1,0.279018188481141
1,1,6,1,2,0.147126183992077
1,1,6,2,1,0.309180782773959
1,1,6,2,2,0.162461720192444
1,1,6,3,1,0.269162214187303
1,1,6,3,2,0.119503163765361
1,2,6,1,1,0.279018188481141
1,2,6,1,2,0.147126183992077
1,2,6,2,1,0.309180782773959
1,2,6,2,2,0.162461720192444
1,2,6,3,1,0.269162214187303
1,2,6,3,2,0.119503163765361
1,1,7,1,1,0.176210574722992
1,1,7,1,2,0.127556594794391
1,1,7,2,1,0.182724630825689
1,1,7,2,2,0.154583411909895
1,1,7,3,1,0.116402368753876
1,1,7,3,2,0.026367668834101
1,2,7,1,1,0.176210574722992
1,2,7,1,2,0.127556594794391
1,2,7,2,1,0.182724630825689
1,2,7,2,2,0.154583411909895
1,2,7,3,1,0.116402368753876
1,2,7,3,2,0.026367668834101
1,1,8,1,1,0.208867273585657
1,1,8,1,2,0.0655419373085328
1,1,8,2,1,0.13313472356273
1,1,8,2,2,0.062089062591936
1,1,8,3,1,0.0988300916618998
1,1,8,3,2,0.0483171641604582
1,2,8,1,1,0.208867273585657
1,2,8,1,2,0.0655419373085328
1,2,8,2,1,0.13313472356273
1,2,8,2,2,0.062089062591936
1,2,8,3,1,0.0988300916618998
1,2,8,3,2,0.0483171641604582
1,1,9,1,1,0.240793019824449
1,1,9,1,2,0.083916992233514
1,1,9,2,1,0.279812550017967
1,1,9,2,2,0.121741157533768
1,1,9,3,1,0.191972945227173
1,1,9,3,2,0.065103052419322
1,2,9,1,1,0.240793019824449
1,2,9,1,2,0.083916992233514
1,2,9,2,1,0.279812550017967
1,2,9,2,2,0.121741157533768
1,2,9,3,1,0.191972945227173
1,2,9,3,2,0.065103052419322
1,1,10,1,1,0.246581113644678
1,1,10,1,2,0.0562484369705496
1,1,10,2,1,0.278066413857356
1,1,10,2,2,0.0933765072473339
1,1,10,3,1,0.24423617113827
1,1,10,3,2,0.0863206517036962
1,2,10,1,1,0.246581113644678
1,2,10,1,2,0.0562484369705496
1,2,10,2,1,0.278066413857356
1,2,10,2,2,0.0933765072473339
1,2,10,3,1,0.24423617113827
1,2,10,3,2,0.0863206517036962
1,1,11,1,1,0.105863932349528
1,1,11,1,2,0.0415650682083789
1,1,11,2,1,0.0873866548880715
1,1,11,2,2,0.0498765697793237
1,1,11,3,1,0.257672151622976
1,1,11,3,2,0.177151804479587
1,2,11,1,1,0.105863932349528
1,2,11,1,2,0.0415650682083789
1,2,11,2,1,0.0873866548880715
1,2,11,2,2,0.0498765697793237
1,2,11,3,1,0.257672151622976
1,2,11,3,2,0.177151804479587
1,1,12,1,1,0.285170581597956
1,1,12,1,2,0.210599357727355
1,1,12,2,1,0.292310096709941
1,1,12,2,2,0.204623042204674
1,1,12,3,1,0.294847810542545
1,1,12,3,2,0.205853512444215
1,2,12,1,1,0.285170581597956
1,2,12,1,2,0.210599357727355
1,2,12,2,1,0.292310096709941
1,2,12,2,2,0.204623042204674
1,2,12,3,1,0.294847810542545
1,2,12,3,2,0.205853512444215
1,1,13,1,1,0.248976000978145
1,1,13,1,2,0.127736359319288
1,1,13,2,1,0.222082633619868
1,1,13,2,2,0.107604002643632
1,1,13,3,1,0.204237708911502
1,1,13,3,2,0.11624452487746
1,2,13,1,1,0.248976000978145
1,2,13,1,2,0.127736359319288
1,2,13,2,1,0.222082633619868
1,2,13,2,2,0.107604002643632
1,2,13,3,1,0.204237708911502
1,2,13,3,2,0.11624452487746
1,1,14,1,1,0.219403623060806
1,1,14,1,2,0.124610728552195
1,1,14,2,1,0.145087139566256
1,1,14,2,2,0.0928514202117813
1,1,14,3,1,0.151807220363348
1,1,14,3,2,0.0934931854784766
1,2,14,1,1,0.219403623060806
1,2,14,1,2,0.124610728552195
1,2,14,2,1,0.145087139566256
1,2,14,2,2,0.0928514202117813
1,2,14,3,1,0.151807220363348
1,2,14,3,2,0.0934931854784766
1,1,15,1,1,0.281277782051072
1,1,15,1,2,0.160975057106932
1,1,15,2,1,0.11666190349479
1,1,15,2,2,0.0904188212453373
1,1,15,3,1,0.187610783699218
1,1,15,3,2,0.139796656614666
1,2,15,1,1,0.281277782051072
1,2,15,1,2,0.160975057106932
1,2,15,2,1,0.11666190349479
1,2,15,2,2,0.0904188212453373
1,2,15,3,1,0.187610783699218
1,2,15,3,2,0.139796656614666
1,1,16,1,1,0.142047497686485
1,1,16,1,2,0.119055126471016
1,1,16,2,1,0.115713430441246
1,1,16,2,2,0.0945973408365682
1,1,16,3,1,0.124768357285885
1,1,16,3,2,0.101726856941677
1,2,16,1,1,0.142047497686485
1,2,16,1,2,0.119055126471016
1,2,16,2,1,0.115713430441246
1,2,16,2,2,0.0945973408365682
1,2,16,3,1,0.124768357285885
1,2,16,3,2,0.101726856941677
1,1,17,1,1,0.0729918658811655
1,1,17,1,2,0.0290853546958336
1,1,17,2,1,0.0743491926571099
1,1,17,2,2,0.0409573771122997
1,1,17,3,1,0.0725757324847977
1,1,17,3,2,0.031556619649554
1,2,17,1,1,0.0729918658811655
1,2,17,1,2,0.0290853546958336
1,2,17,2,1,0.0743491926571099
1,2,17,2,2,0.0409573771122997
1,2,17,3,1,0.0725757324847977
1,2,17,3,2,0.031556619649554
1,1,18,1,1,0.369754805175425
1,1,18,1,2,0.292846216363375
1,1,18,2,1,0.400343407878202
1,1,18,2,2,0.330164026052614
1,1,18,3,1,0.399483713279406
1,1,18,3,2,0.313609244865631
1,2,18,1,1,0.369754805175425
1,2,18,1,2,0.292846216363375
1,2,18,2,1,0.400343407878202
1,2,18,2,2,0.330164026052614
1,2,18,3,1,0.399483713279406
1,2,18,3,2,0.313609244865631
1,1,19,1,1,0.088542769880386
1,1,19,1,2,0.0137216635206639
1,1,19,2,1,0.0893389128679998
1,1,19,2,2,0.0204569712976714
1,1,19,3,1,3.88729570536437e-05
1,1,19,3,2,0.00531890775091585
1,2,19,1,1,0.088542769880386
1,2,19,1,2,0.0137216635206639
1,2,19,2,1,0.0893389128679998
1,2,19,2,2,0.0204569712976714
1,2,19,3,1,3.88729570536437e-05
1,2,19,3,2,0.00531890775091585
1,1,20,1,1,0.307957603446596
1,1,20,1,2,0.0845705121428917
1,1,20,2,1,0.298607571138123
1,1,20,2,2,0.0780942660224913
1,1,20,3,1,0.279801479064287
1,1,20,3,2,0.0731529238218754
1,2,20,1,1,0.307957603446596
1,2,20,1,2,0.0845705121428917
1,2,20,2,1,0.298607571138123
1,2,20,2,2,0.0780942660224913
1,2,20,3,1,0.279801479064287
1,2,20,3,2,0.0731529238218754
1,1,21,1,1,0.268515768757321
1,1,21,1,2,0.133121496250947
1,1,21,2,1,0.21036263738841
1,1,21,2,2,0.100103476730604
1,1,21,3,1,0.205283035960737
1,1,21,3,2,0.102700779352048
1,2,21,1,1,0.268515768757321
1,2,21,1,2,0.133121496250947
1,2,21,2,1,0.21036263738841
