stimulus,task,site,subject,att,AUCMeasure,AUC
1,1,1,1,1,1,0.177188880294027
1,1,1,1,2,1,0.186384345523442
1,1,1,1,3,1,0.146614891676772
1,1,2,1,1,1,0.177188880294027
1,1,2,1,2,1,0.186384345523442
1,1,2,1,3,1,0.146614891676772
1,1,1,2,1,1,0.19968749205533
1,1,1,2,2,1,0.272581039600291
1,1,1,2,3,1,0.106849665072884
1,1,2,2,1,1,0.19968749205533
1,1,2,2,2,1,0.272581039600291
1,1,2,2,3,1,0.106849665072884
1,1,1,3,1,1,0.274673266776847
1,1,1,3,2,1,0.261882240392836
1,1,1,3,3,1,0.17838374520426
1,1,2,3,1,1,0.274673266776847
1,1,2,3,2,1,0.261882240392836
1,1,2,3,3,1,0.17838374520426
1,1,1,4,1,1,0.205418535382938
1,1,1,4,2,1,0.181055551801558
1,1,1,4,3,1,0.149693243338487
1,1,2,4,1,1,0.205418535382938
1,1,2,4,2,1,0.181055551801558
1,1,2,4,3,1,0.149693243338487
1,1,1,5,1,1,0.197642007997726
1,1,1,5,2,1,0.191510510050188
1,1,1,5,3,1,0.114350422969266
1,1,2,5,1,1,0.197642007997726
1,1,2,5,2,1,0.191510510050188
1,1,2,5,3,1,0.114350422969266
1,1,1,6,1,1,0.279018188481141
1,1,1,6,2,1,0.309180782773959
1,1,1,6,3,1,0.269162214187303
1,1,2,6,1,1,0.279018188481141
1,1,2,6,2,1,0.309180782773959
1,1,2,6,3,1,0.269162214187303
1,1,1,7,1,1,0.176210574722992
1,1,1,7,2,1,0.182724630825689
1,1,1,7,3,1,0.116402368753876
1,1,2,7,1,1,0.176210574722992
1,1,2,7,2,1,0.182724630825689
1,1,2,7,3,1,0.116402368753876
1,1,1,8,1,1,0.208867273585657
1,1,1,8,2,1,0.13313472356273
1,1,1,8,3,1,0.0988300916618998
1,1,2,8,1,1,0.208867273585657
1,1,2,8,2,1,0.13313472356273
1,1,2,8,3,1,0.0988300916618998
1,1,1,9,1,1,0.240793019824449
1,1,1,9,2,1,0.279812550017967
1,1,1,9,3,1,0.191972945227173
1,1,2,9,1,1,0.240793019824449
1,1,2,9,2,1,0.279812550017967
1,1,2,9,3,1,0.191972945227173
1,1,1,10,1,1,0.246581113644678
1,1,1,10,2,1,0.278066413857356
1,1,1,10,3,1,0.24423617113827
1,1,2,10,1,1,0.246581113644678
1,1,2,10,2,1,0.278066413857356
1,1,2,10,3,1,0.24423617113827
1,1,1,11,1,1,0.105863932349528
1,1,1,11,2,1,0.0873866548880715
1,1,1,11,3,1,0.257672151622976
1,1,2,11,1,1,0.105863932349528
1,1,2,11,2,1,0.0873866548880715
1,1,2,11,3,1,0.257672151622976
1,1,1,12,1,1,0.285170581597956
1,1,1,12,2,1,0.292310096709941
1,1,1,12,3,1,0.294847810542545
1,1,2,12,1,1,0.285170581597956
1,1,2,12,2,1,0.292310096709941
1,1,2,12,3,1,0.294847810542545
1,1,1,13,1,1,0.248976000978145
1,1,1,13,2,1,0.222082633619868
1,1,1,13,3,1,0.204237708911502
1,1,2,13,1,1,0.248976000978145
1,1,2,13,2,1,0.222082633619868
1,1,2,13,3,1,0.204237708911502
1,1,1,14,1,1,0.219403623060806
1,1,1,14,2,1,0.145087139566256
1,1,1,14,3,1,0.151807220363348
1,1,2,14,1,1,0.219403623060806
1,1,2,14,2,1,0.145087139566256
1,1,2,14,3,1,0.151807220363348
1,1,1,15,1,1,0.281277782051072
1,1,1,15,2,1,0.11666190349479
1,1,1,15,3,1,0.187610783699218
1,1,2,15,1,1,0.281277782051072
1,1,2,15,2,1,0.11666190349479
1,1,2,15,3,1,0.187610783699218
1,1,1,16,1,1,0.142047497686485
1,1,1,16,2,1,0.115713430441246
1,1,1,16,3,1,0.124768357285885
1,1,2,16,1,1,0.142047497686485
1,1,2,16,2,1,0.115713430441246
1,1,2,16,3,1,0.124768357285885
1,1,1,17,1,1,0.0729918658811655
1,1,1,17,2,1,0.0743491926571099
1,1,1,17,3,1,0.0725757324847977
1,1,2,17,1,1,0.0729918658811655
1,1,2,17,2,1,0.0743491926571099
1,1,2,17,3,1,0.0725757324847977
1,1,1,18,1,1,0.369754805175425
1,1,1,18,2,1,0.400343407878202
1,1,1,18,3,1,0.399483713279406
1,1,2,18,1,1,0.369754805175425
1,1,2,18,2,1,0.400343407878202
1,1,2,18,3,1,0.399483713279406
1,1,1,19,1,1,0.088542769880386
1,1,1,19,2,1,0.0893389128679998
1,1,1,19,3,1,3.88729570536437e-05
1,1,2,19,1,1,0.088542769880386
1,1,2,19,2,1,0.0893389128679998
1,1,2,19,3,1,3.88729570536437e-05
1,1,1,20,1,1,0.307957603446596
1,1,1,20,2,1,0.298607571138123
1,1,1,20,3,1,0.279801479064287
1,1,2,20,1,1,0.307957603446596
1,1,2,20,2,1,0.298607571138123
1,1,2,20,3,1,0.279801479064287
1,1,1,21,1,1,0.268515768757321
1,1,1,21,2,1,0.21036263738841
1,1,1,21,3,1,0.205283035960737
1,1,2,21,1,1,0.268515768757321
1,1,2,21,2,1,0.21036263738841
1,1,2,21,3,1,0.205283035960737
1,1,1,22,1,1,0.313387500687589
1,1,1,22,2,1,0.293951754532328
1,1,1,22,3,1,0.266601491875646
1,1,2,22,1,1,0.313387500687589
1,1,2,22,2,1,0.293951754532328
1,1,2,22,3,1,0.266601491875646
1,1,1,23,1,1,0.358714702240677
1,1,1,23,2,1,0.301375088376579
1,1,1,23,3,1,0.271861920261198
1,1,2,23,1,1,0.358714702240677
1,1,2,23,2,1,0.301375088376579
1,1,2,23,3,1,0.271861920261198
1,1,1,24,1,1,0.297693979365379
1,1,1,24,2,1,0.184975259005071
1,1,1,24,3,1,0.180636983112088
1,1,2,24,1,1,0.297693979365379
1,1,2,24,2,1,0.184975259005071
1,1,2,24,3,1,0.180636983112088
1,1,1,25,1,1,0.30674817962048
1,1,1,25,2,1,0.285564307503615
1,1,1,25,3,1,0.213958507687529
1,1,2,25,1,1,0.30674817962048
1,1,2,25,2,1,0.285564307503615
1,1,2,25,3,1,0.213958507687529
1,1,1,26,1,1,0.34851051495354
1,1,1,26,2,1,0.274705800671663
1,1,1,26,3,1,0.319448849928697
1,1,2,26,1,1,0.34851051495354
1,1,2,26,2,1,0.274705800671663
1,1,2,26,3,1,0.319448849928697
1,1,1,27,1,1,0.323815298548644
1,1,1,27,2,1,0.199627354579387
1,1,1,27,3,1,0.196415697718505
1,1,2,27,1,1,0.323815298548644
1,1,2,27,2,1,0.199627354579387
1,1,2,27,3,1,0.196415697718505
1,1,1,28,1,1,0.26626255050603
1,1,1,28,2,1,0.214748791591548
1,1,1,28,3,1,0.19900372071056
1,1,2,28,1,1,0.26626255050603
1,1,2,28,2,1,0.214748791591548
1,1,2,28,3,1,0.19900372071056
1,1,1,29,1,1,0.182322597455668
1,1,1,29,2,1,0.131087982498128
1,1,1,29,3,1,0.138324615882163
1,1,2,29,1,1,0.182322597455668
1,1,2,29,2,1,0.131087982498128
1,1,2,29,3,1,0.138324615882163
1,1,1,30,1,1,0.353374091028643
1,1,1,30,2,1,0.275918523418808
1,1,1,30,3,1,0.242151811460864
1,1,2,30,1,1,0.353374091028643
1,1,2,30,2,1,0.275918523418808
1,1,2,30,3,1,0.242151811460864
1,2,1,31,1,1,0.116237877660086
1,2,1,31,2,1,0.0774422101309206
1,2,1,31,3,1,0.000265713046507328
1,2,2,31,1,1,0.116237877660086
1,2,2,31,2,1,0.0774422101309206
1,2,2,31,3,1,0.000265713046507328
1,2,1,32,1,1,0.0285123724632547
1,2,1,32,2,1,0.0262985441588728
1,2,1,32,3,1,0.0107992103782313
1,2,2,32,1,1,0.0285123724632547
1,2,2,32,2,1,0.0262985441588728
1,2,2,32,3,1,0.0107992103782313
1,2,1,33,1,1,0.252850698307701
1,2,1,33,2,1,0.117440055999557
1,2,1,33,3,1,0.0251880395867758
1,2,2,33,1,1,0.252850698307701
1,2,2,33,2,1,0.117440055999557
1,2,2,33,3,1,0.0251880395867758
1,2,1,34,1,1,0.104922823080112
1,2,1,34,2,1,0.0623268010632205
1,2,1,34,3,1,0.0102409478046234
1,2,2,34,1,1,0.104922823080112
1,2,2,34,2,1,0.0623268010632205
1,2,2,34,3,1,0.0102409478046234
1,2,1,35,1,1,0.106157846205567
1,2,1,35,2,1,0.0685523239052155
1,2,1,35,3,1,0.00518825371435946
1,2,2,35,1,1,0.106157846205567
1,2,2,35,2,1,0.0685523239052155
1,2,2,35,3,1,0.00518825371435946
1,2,1,36,1,1,0.231080887261031
1,2,1,36,2,1,0.154641797759484
1,2,1,36,3,1,0.00731901644877343
1,2,2,36,1,1,0.231080887261031
1,2,2,36,2,1,0.154641797759484
1,2,2,36,3,1,0.00731901644877343
1,2,1,37,1,1,0.18098966996934
1,2,1,37,2,1,0.0950170368967114
1,2,1,37,3,1,0.0171746975899348
1,2,2,37,1,1,0.18098966996934
1,2,2,37,2,1,0.0950170368967114
1,2,2,37,3,1,0.0171746975899348
1,2,1,38,1,1,0.0592554661139434
1,2,1,38,2,1,0.00844827295465995
1,2,1,38,3,1,0.00263131728520959
1,2,2,38,1,1,0.0592554661139434
1,2,2,38,2,1,0.00844827295465995
1,2,2,38,3,1,0.00263131728520959
1,2,1,39,1,1,0.0588443510150341
1,2,1,39,2,1,0.0151118912171486
1,2,1,39,3,1,0.000199879131986954
1,2,2,39,1,1,0.0588443510150341
1,2,2,39,2,1,0.0151118912171486
1,2,2,39,3,1,0.000199879131986954
1,2,1,40,1,1,0.0419641506964852
1,2,1,40,2,1,0.013362819927007
1,2,1,40,3,1,0.00040272987886093
1,2,2,40,1,1,0.0419641506964852
1,2,2,40,2,1,0.013362819927007
1,2,2,40,3,1,0.00040272987886093
1,2,1,41,1,1,0.123943603250795
1,2,1,41,2,1,0.0144001728252091
1,2,1,41,3,1,0.00230528788983083
1,2,2,41,1,1,0.123943603250795
1,2,2,41,2,1,0.0144001728252091
1,2,2,41,3,1,0.00230528788983083
1,2,1,42,1,1,0.200338746149403
1,2,1,42,2,1,0.212696602735709
1,2,1,42,3,1,0.0221133935510534
1,2,2,42,1,1,0.200338746149403
1,2,2,42,2,1,0.212696602735709
1,2,2,42,3,1,0.0221133935510534
1,2,1,43,1,1,0.127599787962818
1,2,1,43,2,1,0.0705731054648369
1,2,1,43,3,1,0.00567441820120565
1,2,2,43,1,1,0.127599787962818
1,2,2,43,2,1,0.0705731054648369
1,2,2,43,3,1,0.00567441820120565
1,2,1,44,1,1,0.0789595957563559
1,2,1,44,2,1,0.0597339471650892
1,2,1,44,3,1,0.031782503627379
1,2,2,44,1,1,0.0789595957563559
1,2,2,44,2,1,0.0597339471650892
1,2,2,44,3,1,0.031782503627379
1,2,1,45,1,1,0.0422840060413359
1,2,1,45,2,1,0.0379666668135239
1,2,1,45,3,1,0.0396196350629297
1,2,2,45,1,1,0.0422840060413359
1,2,2,45,2,1,0.0379666668135239
1,2,2,45,3,1,0.0396196350629297
1,2,1,46,1,1,0.0940691632415228
1,2,1,46,2,1,0.0463421528681597
1,2,1,46,3,1,0.00805536152527222
1,2,2,46,1,1,0.0940691632415228
1,2,2,46,2,1,0.0463421528681597
1,2,2,46,3,1,0.00805536152527222
1,2,1,47,1,1,0.107138465903477
1,2,1,47,2,1,0.0335013481027336
1,2,1,47,3,1,0.00212404324307772
1,2,2,47,1,1,0.107138465903477
1,2,2,47,2,1,0.0335013481027336
1,2,2,47,3,1,0.00212404324307772
1,2,1,48,1,1,0.0524947151801017
1,2,1,48,2,1,0.0447602014716729
1,2,1,48,3,1,0.000798107901265398
1,2,2,48,1,1,0.0524947151801017
1,2,2,48,2,1,0.0447602014716729
1,2,2,48,3,1,0.000798107901265398
1,2,1,49,1,1,0.0880308926264464
1,2,1,49,2,1,0.108933671852984
1,2,1,49,3,1,0.0233096875893962
1,2,2,49,1,1,0.0880308926264464
1,2,2,49,2,1,0.108933671852984
1,2,2,49,3,1,0.0233096875893962
1,2,1,50,1,1,0.072169336060683
1,2,1,50,2,1,0.0311062104434154
1,2,1,50,3,1,0.0107300289670666
1,2,2,50,1,1,0.072169336060683
1,2,2,50,2,1,0.0311062104434154
1,2,2,50,3,1,0.0107300289670666
1,2,1,51,1,1,0.0571967956503162
1,2,1,51,2,1,0.0710500345083314
1,2,1,51,3,1,0.0333481936470359
1,2,2,51,1,1,0.0571967956503162
1,2,2,51,2,1,0.0710500345083314
1,2,2,51,3,1,0.0333481936470359
1,2,1,52,1,1,0.0534083016041958
1,2,1,52,2,1,0.0502916568539523
1,2,1,52,3,1,0.0509501507630658
1,2,2,52,1,1,0.0534083016041958
1,2,2,52,2,1,0.0502916568539523
1,2,2,52,3,1,0.0509501507630658
1,2,1,53,1,1,0.251569040147243
1,2,1,53,2,1,0.116242389730456
1,2,1,53,3,1,0.00665311305176266
1,2,2,53,1,1,0.251569040147243
1,2,2,53,2,1,0.116242389730456
1,2,2,53,3,1,0.00665311305176266
1,2,1,54,1,1,0.0571975849759572
1,2,1,54,2,1,0.0341037233187181
1,2,1,54,3,1,0.00377573389738608
1,2,2,54,1,1,0.0571975849759572
1,2,2,54,2,1,0.0341037233187181
1,2,2,54,3,1,0.00377573389738608
1,2,1,55,1,1,0.136662907636619
1,2,1,55,2,1,0.0486073648449182
1,2,1,55,3,1,0.001111272095365
1,2,2,55,1,1,0.136662907636619
1,2,2,55,2,1,0.0486073648449182
1,2,2,55,3,1,0.001111272095365
1,2,1,56,1,1,0.0618516316700101
1,2,1,56,2,1,0.0463683159725575
1,2,1,56,3,1,0.0145095811880399
1,2,2,56,1,1,0.0618516316700101
1,2,2,56,2,1,0.0463683159725575
1,2,2,56,3,1,0.0145095811880399
1,2,1,57,1,1,0.0773428934130163
1,2,1,57,2,1,0.0777545007884398
1,2,1,57,3,1,0.00502179072879566
1,2,2,57,1,1,0.0773428934130163
1,2,2,57,2,1,0.0777545007884398
1,2,2,57,3,1,0.00502179072879566
1,2,1,58,1,1,0.148542529862937
1,2,1,58,2,1,0.0532545320123552
1,2,1,58,3,1,0.0112824971624789
1,2,2,58,1,1,0.148542529862937
1,2,2,58,2,1,0.0532545320123552
1,2,2,58,3,1,0.0112824971624789
1,2,1,59,1,1,0.0884984665138941
1,2,1,59,2,1,0.0502184593531449
1,2,1,59,3,1,0.00928227073406255
1,2,2,59,1,1,0.0884984665138941
1,2,2,59,2,1,0.0502184593531449
1,2,2,59,3,1,0.00928227073406255
2,1,1,60,1,1,0.212810616839423
2,1,1,60,2,1,0.186946258154478
2,1,1,60,3,1,0.202494488286393
2,1,2,60,1,1,0.212810616839423
2,1,2,60,2,1,0.186946258154478
2,1,2,60,3,1,0.202494488286393
2,1,1,61,1,1,0.167961996899798
2,1,1,61,2,1,0.162708018068599
2,1,1,61,3,1,0.135056035021735
2,1,2,61,1,1,0.167961996899798
2,1,2,61,2,1,0.162708018068599
2,1,2,61,3,1,0.135056035021735
2,1,1,62,1,1,0.242142835380264
2,1,1,62,2,1,0.212166112729201
2,1,1,62,3,1,0.124523353224601
2,1,2,62,1,1,0.242142835380264
2,1,2,62,2,1,0.212166112729201
2,1,2,62,3,1,0.124523353224601
2,1,1,63,1,1,0.312897436296158
2,1,1,63,2,1,0.241185678348052
2,1,1,63,3,1,0.170173176736526
2,1,2,63,1,1,0.312897436296158
2,1,2,63,2,1,0.241185678348052
2,1,2,63,3,1,0.170173176736526
2,1,1,64,1,1,0.0253808093865388
2,1,1,64,2,1,0.0282161989365741
2,1,1,64,3,1,0.0210562181481718
2,1,2,64,1,1,0.0253808093865388
2,1,2,64,2,1,0.0282161989365741
2,1,2,64,3,1,0.0210562181481718
2,1,1,65,1,1,0.453396109140335
2,1,1,65,2,1,0.361065818535633
2,1,1,65,3,1,0.232774475258022
2,1,2,65,1,1,0.453396109140335
2,1,2,65,2,1,0.361065818535633
2,1,2,65,3,1,0.232774475258022
2,1,1,66,1,1,0.0811500321998971
2,1,1,66,2,1,0.0629766610881343
2,1,1,66,3,1,0.0563447345762486
2,1,2,66,1,1,0.0811500321998971
2,1,2,66,2,1,0.0629766610881343
2,1,2,66,3,1,0.0563447345762486
2,1,1,67,1,1,0.12461856489003
2,1,1,67,2,1,0.0805572942002416
2,1,1,67,3,1,0.0666935648721991
2,1,2,67,1,1,0.12461856489003
2,1,2,67,2,1,0.0805572942002416
2,1,2,67,3,1,0.0666935648721991
2,1,1,68,1,1,0.304054299674413
2,1,1,68,2,1,0.265890131353152
2,1,1,68,3,1,0.276290000226531
2,1,2,68,1,1,0.304054299674413
2,1,2,68,2,1,0.265890131353152
2,1,2,68,3,1,0.276290000226531
2,1,1,69,1,1,0.110427895144255
2,1,1,69,2,1,0.0705111093573483
2,1,1,69,3,1,0.018091177499879
2,1,2,69,1,1,0.110427895144255
2,1,2,69,2,1,0.0705111093573483
2,1,2,69,3,1,0.018091177499879
2,1,1,70,1,1,0.268082591578429
2,1,1,70,2,1,0.279972090265224
2,1,1,70,3,1,0.164438847513068
2,1,2,70,1,1,0.268082591578429
2,1,2,70,2,1,0.279972090265224
2,1,2,70,3,1,0.164438847513068
2,1,1,71,1,1,0.215412639028722
2,1,1,71,2,1,0.145710868993027
2,1,1,71,3,1,0.110164957035126
2,1,2,71,1,1,0.215412639028722
2,1,2,71,2,1,0.145710868993027
2,1,2,71,3,1,0.110164957035126
2,1,1,72,1,1,0.394205007690573
2,1,1,72,2,1,0.401490404216983
2,1,1,72,3,1,0.280107249281576
2,1,2,72,1,1,0.394205007690573
2,1,2,72,2,1,0.401490404216983
2,1,2,72,3,1,0.280107249281576
2,1,1,73,1,1,0.154351485012156
2,1,1,73,2,1,0.141745573999472
2,1,1,73,3,1,0.127994456318065
2,1,2,73,1,1,0.154351485012156
2,1,2,73,2,1,0.141745573999472
2,1,2,73,3,1,0.127994456318065
2,1,1,74,1,1,0.251014165418084
2,1,1,74,2,1,0.183394878493051
2,1,1,74,3,1,0.181087446358778
2,1,2,74,1,1,0.251014165418084
2,1,2,74,2,1,0.183394878493051
2,1,2,74,3,1,0.181087446358778
2,1,1,75,1,1,0.0908317316722579
2,1,1,75,2,1,0.0991135388437414
2,1,1,75,3,1,0.051306405757836
2,1,2,75,1,1,0.0908317316722579
2,1,2,75,2,1,0.0991135388437414
2,1,2,75,3,1,0.051306405757836
2,1,1,76,1,1,0.0613574258262669
2,1,1,76,2,1,0.055078057433847
2,1,1,76,3,1,0.0436054563987794
2,1,2,76,1,1,0.0613574258262669
2,1,2,76,2,1,0.055078057433847
2,1,2,76,3,1,0.0436054563987794
2,1,1,77,1,1,0.241949650072431
