site,att,subjectID,contrast,pCorrect,pSeen
0,-1,1,1,0.53125,0.0104166666666667
0,-1,1,2,0.5,0.0416666666666667
0,-1,1,3,0.572916666666667,0.114583333333333
0,-1,1,4,0.614583333333333,0.322916666666667
0,-1,1,5,0.666666666666667,0.260416666666667
0,-1,1,6,0.645833333333333,0.239583333333333
0,-1,1,7,0.729166666666667,0.291666666666667
0,-1,2,1,0.55,0.275
0,-1,2,2,0.55,0.2625
0,-1,2,3,0.575,0.25
0,-1,2,4,0.6375,0.4125
0,-1,2,5,0.6625,0.4625
0,-1,2,6,0.6625,0.5125
0,-1,2,7,0.65,0.6
0,-1,3,1,0.525,0.0375
0,-1,3,2,0.475,0.025
0,-1,3,3,0.45,0.0875
0,-1,3,4,0.525,0.0875
0,-1,3,5,0.5625,0.175
0,-1,3,6,0.675,0.3
0,-1,3,7,0.7375,0.55
0,-1,4,1,0.479166666666667,0.583333333333333
0,-1,4,2,0.5625,0.583333333333333
0,-1,4,3,0.53125,0.635416666666667
0,-1,4,4,0.625,0.65625
0,-1,4,5,0.708333333333333,0.729166666666667
0,-1,4,6,0.6875,0.833333333333333
0,-1,4,7,0.75,0.854166666666667
0,-1,5,1,0.489583333333333,0.0208333333333333
0,-1,5,2,0.677083333333333,0.0729166666666667
0,-1,5,3,0.572916666666667,0.09375
0,-1,5,4,0.666666666666667,0.21875
0,-1,5,5,0.71875,0.28125
0,-1,5,6,0.739583333333333,0.302083333333333
0,-1,5,7,0.760416666666667,0.489583333333333
0,-1,6,1,0.46875,0.135416666666667
0,-1,6,2,0.5,0.208333333333333
0,-1,6,3,0.520833333333333,0.270833333333333
0,-1,6,4,0.59375,0.28125
0,-1,6,5,0.666666666666667,0.447916666666667
0,-1,6,6,0.708333333333333,0.479166666666667
0,-1,6,7,0.6875,0.635416666666667
0,-1,7,1,0.614583333333333,0.760416666666667
0,-1,7,2,0.510416666666667,0.78125
0,-1,7,3,0.541666666666667,0.885416666666667
0,-1,7,4,0.71875,0.916666666666667
0,-1,7,5,0.854166666666667,0.864583333333333
0,-1,7,6,0.854166666666667,0.927083333333333
0,-1,7,7,0.875,0.916666666666667
0,-1,8,1,0.55,0.1375
0,-1,8,2,0.675,0.2375
0,-1,8,3,0.6125,0.4125
0,-1,8,4,0.725,0.55
0,-1,8,5,0.6625,0.625
0,-1,8,6,0.7875,0.825
0,-1,8,7,0.775,0.8625
0,-1,9,1,0.510416666666667,0.125
0,-1,9,2,0.479166666666667,0.125
0,-1,9,3,0.59375,0.177083333333333
0,-1,9,4,0.458333333333333,0.09375
0,-1,9,5,0.552083333333333,0.177083333333333
0,-1,9,6,0.625,0.302083333333333
0,-1,9,7,0.614583333333333,0.4375
0,-1,10,1,0.4875,0.2625
0,-1,10,2,0.5875,0.2
0,-1,10,3,0.4875,0.2125
0,-1,10,4,0.6,0.25
0,-1,10,5,0.625,0.2625
0,-1,10,6,0.6,0.35
0,-1,10,7,0.675,0.4875
0,-1,11,1,0.4,0.0315789473684211
0,-1,11,2,0.510416666666667,0.09375
0,-1,11,3,0.568421052631579,0.178947368421053
0,-1,11,4,0.75,0.4375
0,-1,11,5,0.75,0.572916666666667
0,-1,11,6,0.84375,0.770833333333333
0,-1,11,7,0.927083333333333,0.895833333333333
0,-1,12,1,0.520833333333333,0.635416666666667
0,-1,12,2,0.59375,0.59375
0,-1,12,3,0.40625,0.677083333333333
0,-1,12,4,0.583333333333333,0.645833333333333
0,-1,12,5,0.65625,0.75
0,-1,12,6,0.71875,0.84375
0,-1,12,7,0.854166666666667,0.895833333333333
0,-1,13,1,0.5625,0.2375
0,-1,13,2,0.575,0.25
0,-1,13,3,0.5125,0.225
0,-1,13,4,0.525,0.2875
0,-1,13,5,0.6375,0.4125
0,-1,13,6,0.575,0.4875
0,-1,13,7,0.6375,0.525
0,-1,14,1,0.575,0.0875
0,-1,14,2,0.55,0.15
0,-1,14,3,0.75,0.3
0,-1,14,4,0.85,0.45
0,-1,14,5,0.9375,0.45
0,-1,14,6,0.9,0.5125
0,-1,14,7,0.875,0.575
0,-1,15,1,0.520833333333333,0.135416666666667
0,-1,15,2,0.489583333333333,0.0729166666666667
0,-1,15,3,0.541666666666667,0.15625
