site,att,subjectID,contrast,pCorrect,pSeen
0,-1,1,1,-1,0.0773809523809524
0,-1,1,2,0.4375,0.125
0,-1,1,3,0.541666666666667,0.208333333333333
0,-1,1,4,0.625,0.333333333333333
0,-1,1,5,0.625,0.4375
0,-1,1,6,0.708333333333333,0.520833333333333
0,-1,1,7,0.6875,0.6875
0,-1,1,8,0.6875,0.708333333333333
0,-1,2,1,-1,0.342710997442455
0,-1,2,2,0.446428571428571,0.464285714285714
0,-1,2,3,0.482142857142857,0.375
0,-1,2,4,0.589285714285714,0.482142857142857
0,-1,2,5,0.642857142857143,0.589285714285714
0,-1,2,6,0.660714285714286,0.678571428571429
0,-1,2,7,0.696428571428571,0.767857142857143
0,-1,2,8,0.857142857142857,0.875
0,-1,3,1,-1,0.181547619047619
0,-1,3,2,0.5625,0.0833333333333333
0,-1,3,3,0.541666666666667,0.3125
0,-1,3,4,0.479166666666667,0.416666666666667
0,-1,3,5,0.520833333333333,0.395833333333333
0,-1,3,6,0.541666666666667,0.625
0,-1,3,7,0.666666666666667,0.604166666666667
0,-1,3,8,0.604166666666667,0.729166666666667
0,-1,4,1,-1,0.0505952380952381
0,-1,4,2,0.458333333333333,0.104166666666667
0,-1,4,3,0.520833333333333,0.3125
0,-1,4,4,0.5625,0.229166666666667
0,-1,4,5,0.583333333333333,0.3125
0,-1,4,6,0.645833333333333,0.583333333333333
0,-1,4,7,0.604166666666667,0.604166666666667
0,-1,4,8,0.75,0.833333333333333
0,-1,5,1,-1,0.0178571428571429
0,-1,5,2,0.5,0.0625
0,-1,5,3,0.645833333333333,0.291666666666667
0,-1,5,4,0.645833333333333,0.541666666666667
0,-1,5,5,0.5625,0.645833333333333
0,-1,5,6,0.708333333333333,0.666666666666667
0,-1,5,7,0.729166666666667,0.854166666666667
0,-1,5,8,0.708333333333333,0.916666666666667
0,-1,6,1,-1,0.378571428571429
0,-1,6,2,0.45,0.375
0,-1,6,3,0.625,0.525
0,-1,6,4,0.575,0.675
0,-1,6,5,0.65,0.55
0,-1,6,6,0.625,0.65
0,-1,6,7,0.625,0.575
0,-1,6,8,0.7,0.775
0,-1,7,1,-1,0.110119047619048
0,-1,7,2,0.583333333333333,0.3125
0,-1,7,3,0.625,0.291666666666667
0,-1,7,4,0.75,0.541666666666667
0,-1,7,5,0.604166666666667,0.520833333333333
0,-1,7,6,0.666666666666667,0.6875
0,-1,7,7,0.625,0.604166666666667
0,-1,7,8,0.604166666666667,0.770833333333333
0,-1,8,1,-1,0.297619047619048
0,-1,8,2,0.520833333333333,0.291666666666667
0,-1,8,3,0.4375,0.3125
0,-1,8,4,0.666666666666667,0.5625
0,-1,8,5,0.604166666666667,0.520833333333333
0,-1,8,6,0.625,0.416666666666667
0,-1,8,7,0.541666666666667,0.666666666666667
0,-1,8,8,0.8125,0.9375
0,-1,9,1,-1,0.107142857142857
0,-1,9,2,0.4375,0.125
0,-1,9,3,0.5625,0.3125
0,-1,9,4,0.604166666666667,0.395833333333333
0,-1,9,5,0.625,0.520833333333333
0,-1,9,6,0.541666666666667,0.541666666666667
0,-1,9,7,0.729166666666667,0.520833333333333
0,-1,9,8,0.75,0.729166666666667
0,-1,10,1,-1,0.339285714285714
0,-1,10,2,0.604166666666667,0.479166666666667
0,-1,10,3,0.520833333333333,0.4375
0,-1,10,4,0.5625,0.625
0,-1,10,5,0.604166666666667,0.625
0,-1,10,6,0.354166666666667,0.604166666666667
0,-1,10,7,0.541666666666667,0.729166666666667
